,Cell,assigned_cluster
0,mouse2_lib1.final_cell_0001,beta
1,mouse2_lib1.final_cell_0002,beta
2,mouse2_lib1.final_cell_0003,beta
3,mouse2_lib1.final_cell_0004,ductal
4,mouse2_lib1.final_cell_0005,beta
5,mouse2_lib1.final_cell_0006,beta
6,mouse2_lib1.final_cell_0007,beta
7,mouse2_lib1.final_cell_0008,beta
8,mouse2_lib1.final_cell_0009,delta
9,mouse2_lib1.final_cell_0010,beta
10,mouse2_lib1.final_cell_0011,beta
11,mouse2_lib1.final_cell_0012,beta
12,mouse2_lib1.final_cell_0013,alpha
13,mouse2_lib1.final_cell_0014,delta
14,mouse2_lib1.final_cell_0015,beta
15,mouse2_lib1.final_cell_0016,beta
16,mouse2_lib1.final_cell_0017,beta
17,mouse2_lib1.final_cell_0018,beta
18,mouse2_lib1.final_cell_0019,beta
19,mouse2_lib1.final_cell_0020,beta
20,mouse2_lib1.final_cell_0021,beta
21,mouse2_lib1.final_cell_0022,beta
22,mouse2_lib1.final_cell_0023,beta
23,mouse2_lib1.final_cell_0024,alpha
24,mouse2_lib1.final_cell_0025,beta
25,mouse2_lib1.final_cell_0026,beta
26,mouse2_lib1.final_cell_0027,beta
27,mouse2_lib1.final_cell_0028,beta
28,mouse2_lib1.final_cell_0029,beta
29,mouse2_lib1.final_cell_0030,ductal
30,mouse2_lib1.final_cell_0031,beta
31,mouse2_lib1.final_cell_0032,beta
32,mouse2_lib1.final_cell_0033,delta
33,mouse2_lib1.final_cell_0034,delta
34,mouse2_lib1.final_cell_0035,alpha
35,mouse2_lib1.final_cell_0036,beta
36,mouse2_lib1.final_cell_0037,alpha
37,mouse2_lib1.final_cell_0038,beta
38,mouse2_lib1.final_cell_0039,gamma
39,mouse2_lib1.final_cell_0040,delta
40,mouse2_lib1.final_cell_0041,beta
41,mouse2_lib1.final_cell_0042,delta
42,mouse2_lib1.final_cell_0043,beta
43,mouse2_lib1.final_cell_0044,delta
44,mouse2_lib1.final_cell_0045,delta
45,mouse2_lib1.final_cell_0046,beta
46,mouse2_lib1.final_cell_0047,beta
47,mouse2_lib1.final_cell_0048,alpha
48,mouse2_lib1.final_cell_0049,beta
49,mouse2_lib1.final_cell_0050,beta
50,mouse2_lib1.final_cell_0051,beta
51,mouse2_lib1.final_cell_0052,beta
52,mouse2_lib1.final_cell_0053,alpha
53,mouse2_lib1.final_cell_0054,beta
54,mouse2_lib1.final_cell_0055,beta
55,mouse2_lib1.final_cell_0056,alpha
56,mouse2_lib1.final_cell_0057,beta
57,mouse2_lib1.final_cell_0058,beta
58,mouse2_lib1.final_cell_0059,delta
59,mouse2_lib1.final_cell_0060,delta
60,mouse2_lib1.final_cell_0061,beta
61,mouse2_lib1.final_cell_0062,alpha
62,mouse2_lib1.final_cell_0063,ductal
63,mouse2_lib1.final_cell_0064,delta
64,mouse2_lib1.final_cell_0065,beta
65,mouse2_lib1.final_cell_0066,beta
66,mouse2_lib1.final_cell_0067,alpha
67,mouse2_lib1.final_cell_0068,alpha
68,mouse2_lib1.final_cell_0069,beta
69,mouse2_lib1.final_cell_0070,alpha
70,mouse2_lib1.final_cell_0071,alpha
71,mouse2_lib1.final_cell_0072,alpha
72,mouse2_lib1.final_cell_0073,beta
73,mouse2_lib1.final_cell_0074,beta
74,mouse2_lib1.final_cell_0075,beta
75,mouse2_lib1.final_cell_0076,alpha
76,mouse2_lib1.final_cell_0077,beta
77,mouse2_lib1.final_cell_0078,endothelial
78,mouse2_lib1.final_cell_0079,beta
79,mouse2_lib1.final_cell_0080,beta
80,mouse2_lib1.final_cell_0081,beta
81,mouse2_lib1.final_cell_0082,delta
82,mouse2_lib1.final_cell_0083,B_cell
83,mouse2_lib1.final_cell_0084,alpha
84,mouse2_lib1.final_cell_0085,alpha
85,mouse2_lib1.final_cell_0086,ductal
86,mouse2_lib1.final_cell_0087,beta
87,mouse2_lib1.final_cell_0088,beta
88,mouse2_lib1.final_cell_0089,beta
89,mouse2_lib1.final_cell_0090,beta
90,mouse2_lib1.final_cell_0091,delta
91,mouse2_lib1.final_cell_0092,alpha
92,mouse2_lib1.final_cell_0093,beta
93,mouse2_lib1.final_cell_0094,beta
94,mouse2_lib1.final_cell_0095,beta
95,mouse2_lib1.final_cell_0096,beta
96,mouse2_lib1.final_cell_0097,delta
97,mouse2_lib1.final_cell_0098,delta
98,mouse2_lib1.final_cell_0099,delta
99,mouse2_lib1.final_cell_0100,delta
100,mouse2_lib1.final_cell_0101,beta
101,mouse2_lib1.final_cell_0102,beta
102,mouse2_lib1.final_cell_0103,beta
103,mouse2_lib1.final_cell_0104,delta
104,mouse2_lib1.final_cell_0105,beta
105,mouse2_lib1.final_cell_0106,beta
106,mouse2_lib1.final_cell_0107,alpha
107,mouse2_lib1.final_cell_0108,beta
108,mouse2_lib1.final_cell_0109,delta
109,mouse2_lib1.final_cell_0110,gamma
110,mouse2_lib1.final_cell_0111,beta
111,mouse2_lib1.final_cell_0112,delta
112,mouse2_lib1.final_cell_0113,beta
113,mouse2_lib1.final_cell_0114,beta
114,mouse2_lib1.final_cell_0115,beta
115,mouse2_lib1.final_cell_0116,delta
116,mouse2_lib1.final_cell_0117,beta
117,mouse2_lib1.final_cell_0118,gamma
118,mouse2_lib1.final_cell_0119,gamma
119,mouse2_lib1.final_cell_0120,ductal
120,mouse2_lib1.final_cell_0121,beta
121,mouse2_lib1.final_cell_0122,beta
122,mouse2_lib1.final_cell_0123,beta
123,mouse2_lib1.final_cell_0124,beta
124,mouse2_lib1.final_cell_0125,beta
125,mouse2_lib1.final_cell_0126,beta
126,mouse2_lib1.final_cell_0127,alpha
127,mouse2_lib1.final_cell_0128,alpha
128,mouse2_lib1.final_cell_0129,endothelial
129,mouse2_lib1.final_cell_0130,beta
130,mouse2_lib1.final_cell_0131,beta
131,mouse2_lib1.final_cell_0132,beta
132,mouse2_lib1.final_cell_0133,beta
133,mouse2_lib1.final_cell_0134,beta
134,mouse2_lib1.final_cell_0135,beta
135,mouse2_lib1.final_cell_0136,beta
136,mouse2_lib1.final_cell_0137,beta
137,mouse2_lib1.final_cell_0138,alpha
138,mouse2_lib1.final_cell_0139,beta
139,mouse2_lib1.final_cell_0140,beta
140,mouse2_lib1.final_cell_0141,ductal
141,mouse2_lib1.final_cell_0142,ductal
142,mouse2_lib1.final_cell_0143,beta
143,mouse2_lib1.final_cell_0144,gamma
144,mouse2_lib1.final_cell_0145,delta
145,mouse2_lib1.final_cell_0146,gamma
146,mouse2_lib1.final_cell_0147,beta
147,mouse2_lib1.final_cell_0148,alpha
148,mouse2_lib1.final_cell_0149,alpha
149,mouse2_lib1.final_cell_0150,beta
150,mouse2_lib1.final_cell_0151,beta
151,mouse2_lib1.final_cell_0152,ductal
152,mouse2_lib1.final_cell_0153,alpha
153,mouse2_lib1.final_cell_0154,beta
154,mouse2_lib1.final_cell_0155,beta
155,mouse2_lib1.final_cell_0156,alpha
156,mouse2_lib1.final_cell_0157,alpha
157,mouse2_lib1.final_cell_0158,alpha
158,mouse2_lib1.final_cell_0159,beta
159,mouse2_lib1.final_cell_0160,beta
160,mouse2_lib1.final_cell_0161,beta
161,mouse2_lib1.final_cell_0162,gamma
162,mouse2_lib1.final_cell_0163,delta
163,mouse2_lib1.final_cell_0164,beta
164,mouse2_lib1.final_cell_0165,alpha
165,mouse2_lib1.final_cell_0166,beta
166,mouse2_lib1.final_cell_0167,delta
167,mouse2_lib1.final_cell_0168,beta
168,mouse2_lib1.final_cell_0169,delta
169,mouse2_lib1.final_cell_0170,beta
170,mouse2_lib1.final_cell_0171,alpha
171,mouse2_lib1.final_cell_0172,beta
172,mouse2_lib1.final_cell_0173,delta
173,mouse2_lib1.final_cell_0174,beta
174,mouse2_lib1.final_cell_0175,alpha
175,mouse2_lib1.final_cell_0176,beta
176,mouse2_lib1.final_cell_0177,beta
177,mouse2_lib1.final_cell_0178,alpha
178,mouse2_lib1.final_cell_0179,beta
179,mouse2_lib1.final_cell_0180,beta
180,mouse2_lib1.final_cell_0181,alpha
181,mouse2_lib1.final_cell_0182,alpha
182,mouse2_lib1.final_cell_0183,beta
183,mouse2_lib1.final_cell_0184,alpha
184,mouse2_lib1.final_cell_0185,beta
185,mouse2_lib1.final_cell_0186,alpha
186,mouse2_lib1.final_cell_0187,alpha
187,mouse2_lib1.final_cell_0188,beta
188,mouse2_lib1.final_cell_0189,alpha
189,mouse2_lib1.final_cell_0190,beta
190,mouse2_lib1.final_cell_0191,beta
191,mouse2_lib1.final_cell_0192,beta
192,mouse2_lib1.final_cell_0193,beta
193,mouse2_lib1.final_cell_0194,alpha
194,mouse2_lib1.final_cell_0195,beta
195,mouse2_lib1.final_cell_0196,alpha
196,mouse2_lib1.final_cell_0197,beta
197,mouse2_lib1.final_cell_0198,macrophage
198,mouse2_lib1.final_cell_0199,alpha
199,mouse2_lib1.final_cell_0200,beta
200,mouse2_lib1.final_cell_0201,beta
201,mouse2_lib1.final_cell_0202,beta
202,mouse2_lib1.final_cell_0203,delta
203,mouse2_lib1.final_cell_0204,gamma
204,mouse2_lib1.final_cell_0205,macrophage
205,mouse2_lib1.final_cell_0206,gamma
206,mouse2_lib1.final_cell_0207,beta
207,mouse2_lib1.final_cell_0208,macrophage
208,mouse2_lib1.final_cell_0209,alpha
209,mouse2_lib1.final_cell_0210,alpha
210,mouse2_lib1.final_cell_0211,beta
211,mouse2_lib1.final_cell_0212,beta
212,mouse2_lib1.final_cell_0213,endothelial
213,mouse2_lib1.final_cell_0214,beta
214,mouse2_lib1.final_cell_0215,beta
215,mouse2_lib1.final_cell_0216,delta
216,mouse2_lib1.final_cell_0217,gamma
217,mouse2_lib1.final_cell_0218,beta
218,mouse2_lib1.final_cell_0219,beta
219,mouse2_lib1.final_cell_0220,immune_other
220,mouse2_lib1.final_cell_0221,beta
221,mouse2_lib1.final_cell_0222,delta
222,mouse2_lib1.final_cell_0223,beta
223,mouse2_lib1.final_cell_0224,delta
224,mouse2_lib1.final_cell_0225,beta
225,mouse2_lib1.final_cell_0226,beta
226,mouse2_lib1.final_cell_0227,beta
227,mouse2_lib1.final_cell_0228,beta
228,mouse2_lib1.final_cell_0229,alpha
229,mouse2_lib1.final_cell_0230,alpha
230,mouse2_lib1.final_cell_0231,gamma
231,mouse2_lib1.final_cell_0232,macrophage
232,mouse2_lib1.final_cell_0233,beta
233,mouse2_lib1.final_cell_0234,beta
234,mouse2_lib1.final_cell_0235,alpha
235,mouse2_lib1.final_cell_0236,delta
236,mouse2_lib1.final_cell_0237,activated_stellate
237,mouse2_lib1.final_cell_0238,beta
238,mouse2_lib1.final_cell_0239,beta
239,mouse2_lib1.final_cell_0240,endothelial
240,mouse2_lib1.final_cell_0241,beta
241,mouse2_lib1.final_cell_0242,beta
242,mouse2_lib1.final_cell_0243,beta
243,mouse2_lib1.final_cell_0244,beta
244,mouse2_lib1.final_cell_0245,beta
245,mouse2_lib1.final_cell_0246,endothelial
246,mouse2_lib1.final_cell_0247,alpha
247,mouse2_lib1.final_cell_0248,alpha
248,mouse2_lib1.final_cell_0249,alpha
249,mouse2_lib1.final_cell_0250,beta
250,mouse2_lib1.final_cell_0251,macrophage
251,mouse2_lib1.final_cell_0252,macrophage
252,mouse2_lib1.final_cell_0253,beta
253,mouse2_lib1.final_cell_0254,beta
254,mouse2_lib1.final_cell_0255,beta
255,mouse2_lib1.final_cell_0256,delta
256,mouse2_lib1.final_cell_0257,beta
257,mouse2_lib1.final_cell_0258,beta
258,mouse2_lib1.final_cell_0259,delta
259,mouse2_lib1.final_cell_0260,beta
260,mouse2_lib1.final_cell_0261,delta
261,mouse2_lib1.final_cell_0262,delta
262,mouse2_lib1.final_cell_0263,endothelial
263,mouse2_lib1.final_cell_0264,delta
264,mouse2_lib1.final_cell_0265,beta
265,mouse2_lib1.final_cell_0266,beta
266,mouse2_lib1.final_cell_0267,ductal
267,mouse2_lib1.final_cell_0268,ductal
268,mouse2_lib1.final_cell_0269,alpha
269,mouse2_lib1.final_cell_0270,endothelial
270,mouse2_lib1.final_cell_0271,beta
271,mouse2_lib1.final_cell_0272,alpha
272,mouse2_lib1.final_cell_0273,alpha
273,mouse2_lib1.final_cell_0274,endothelial
274,mouse2_lib1.final_cell_0275,beta
275,mouse2_lib1.final_cell_0276,beta
276,mouse2_lib1.final_cell_0277,beta
277,mouse2_lib1.final_cell_0278,beta
278,mouse2_lib1.final_cell_0279,beta
279,mouse2_lib1.final_cell_0280,B_cell
280,mouse2_lib1.final_cell_0281,beta
281,mouse2_lib1.final_cell_0282,quiescent_stellate
282,mouse2_lib1.final_cell_0283,alpha
283,mouse2_lib1.final_cell_0284,alpha
284,mouse2_lib1.final_cell_0285,activated_stellate
285,mouse2_lib1.final_cell_0286,endothelial
286,mouse2_lib1.final_cell_0287,beta
287,mouse2_lib1.final_cell_0288,beta
288,mouse2_lib1.final_cell_0289,gamma
289,mouse2_lib1.final_cell_0290,endothelial
290,mouse2_lib1.final_cell_0291,beta
291,mouse2_lib1.final_cell_0292,activated_stellate
292,mouse2_lib1.final_cell_0293,alpha
293,mouse2_lib1.final_cell_0294,quiescent_stellate
294,mouse2_lib1.final_cell_0295,beta
295,mouse2_lib1.final_cell_0296,delta
296,mouse2_lib1.final_cell_0297,beta
297,mouse2_lib1.final_cell_0298,endothelial
298,mouse2_lib1.final_cell_0299,beta
299,mouse2_lib1.final_cell_0300,beta
300,mouse2_lib1.final_cell_0301,B_cell
301,mouse2_lib1.final_cell_0302,activated_stellate
302,mouse2_lib1.final_cell_0303,macrophage
303,mouse2_lib1.final_cell_0304,alpha
304,mouse2_lib1.final_cell_0305,endothelial
305,mouse2_lib1.final_cell_0306,macrophage
306,mouse2_lib1.final_cell_0307,beta
307,mouse2_lib1.final_cell_0308,delta
308,mouse2_lib1.final_cell_0309,beta
309,mouse2_lib1.final_cell_0310,delta
310,mouse2_lib1.final_cell_0311,delta
311,mouse2_lib1.final_cell_0312,beta
312,mouse2_lib1.final_cell_0313,beta
313,mouse2_lib1.final_cell_0314,beta
314,mouse2_lib1.final_cell_0315,delta
315,mouse2_lib1.final_cell_0316,beta
316,mouse2_lib1.final_cell_0317,quiescent_stellate
317,mouse2_lib1.final_cell_0318,B_cell
318,mouse2_lib1.final_cell_0319,endothelial
319,mouse2_lib1.final_cell_0320,endothelial
320,mouse2_lib2.final_cell_0001,beta
321,mouse2_lib2.final_cell_0002,beta
322,mouse2_lib2.final_cell_0003,beta
323,mouse2_lib2.final_cell_0004,delta
324,mouse2_lib2.final_cell_0005,beta
325,mouse2_lib2.final_cell_0006,beta
326,mouse2_lib2.final_cell_0007,ductal
327,mouse2_lib2.final_cell_0008,beta
328,mouse2_lib2.final_cell_0009,beta
329,mouse2_lib2.final_cell_0010,beta
330,mouse2_lib2.final_cell_0011,beta
331,mouse2_lib2.final_cell_0012,beta
332,mouse2_lib2.final_cell_0013,gamma
333,mouse2_lib2.final_cell_0014,beta
334,mouse2_lib2.final_cell_0015,alpha
335,mouse2_lib2.final_cell_0016,beta
336,mouse2_lib2.final_cell_0017,beta
337,mouse2_lib2.final_cell_0018,beta
338,mouse2_lib2.final_cell_0019,beta
339,mouse2_lib2.final_cell_0020,beta
340,mouse2_lib2.final_cell_0021,ductal
341,mouse2_lib2.final_cell_0022,alpha
342,mouse2_lib2.final_cell_0023,alpha
343,mouse2_lib2.final_cell_0024,beta
344,mouse2_lib2.final_cell_0025,alpha
345,mouse2_lib2.final_cell_0026,delta
346,mouse2_lib2.final_cell_0027,beta
347,mouse2_lib2.final_cell_0028,alpha
348,mouse2_lib2.final_cell_0029,beta
349,mouse2_lib2.final_cell_0030,delta
350,mouse2_lib2.final_cell_0031,alpha
351,mouse2_lib2.final_cell_0032,beta
352,mouse2_lib2.final_cell_0033,beta
353,mouse2_lib2.final_cell_0034,alpha
354,mouse2_lib2.final_cell_0035,delta
355,mouse2_lib2.final_cell_0036,alpha
356,mouse2_lib2.final_cell_0037,beta
357,mouse2_lib2.final_cell_0038,beta
358,mouse2_lib2.final_cell_0039,beta
359,mouse2_lib2.final_cell_0040,gamma
360,mouse2_lib2.final_cell_0041,gamma
361,mouse2_lib2.final_cell_0042,beta
362,mouse2_lib2.final_cell_0043,beta
363,mouse2_lib2.final_cell_0044,beta
364,mouse2_lib2.final_cell_0045,beta
365,mouse2_lib2.final_cell_0046,delta
366,mouse2_lib2.final_cell_0047,beta
367,mouse2_lib2.final_cell_0048,alpha
368,mouse2_lib2.final_cell_0049,beta
369,mouse2_lib2.final_cell_0050,alpha
370,mouse2_lib2.final_cell_0051,alpha
371,mouse2_lib2.final_cell_0052,alpha
372,mouse2_lib2.final_cell_0053,beta
373,mouse2_lib2.final_cell_0054,delta
374,mouse2_lib2.final_cell_0055,delta
375,mouse2_lib2.final_cell_0056,beta
376,mouse2_lib2.final_cell_0057,beta
377,mouse2_lib2.final_cell_0058,beta
378,mouse2_lib2.final_cell_0059,beta
379,mouse2_lib2.final_cell_0060,beta
380,mouse2_lib2.final_cell_0061,beta
381,mouse2_lib2.final_cell_0062,delta
382,mouse2_lib2.final_cell_0063,beta
383,mouse2_lib2.final_cell_0064,beta
384,mouse2_lib2.final_cell_0065,beta
385,mouse2_lib2.final_cell_0066,beta
386,mouse2_lib2.final_cell_0067,alpha
387,mouse2_lib2.final_cell_0068,delta
388,mouse2_lib2.final_cell_0069,beta
389,mouse2_lib2.final_cell_0070,delta
390,mouse2_lib2.final_cell_0071,beta
391,mouse2_lib2.final_cell_0072,beta
392,mouse2_lib2.final_cell_0073,beta
393,mouse2_lib2.final_cell_0074,beta
394,mouse2_lib2.final_cell_0075,beta
395,mouse2_lib2.final_cell_0076,delta
396,mouse2_lib2.final_cell_0077,beta
397,mouse2_lib2.final_cell_0078,beta
398,mouse2_lib2.final_cell_0079,delta
399,mouse2_lib2.final_cell_0080,schwann
400,mouse2_lib2.final_cell_0081,delta
401,mouse2_lib2.final_cell_0082,alpha
402,mouse2_lib2.final_cell_0083,delta
403,mouse2_lib2.final_cell_0084,beta
404,mouse2_lib2.final_cell_0085,delta
405,mouse2_lib2.final_cell_0086,delta
406,mouse2_lib2.final_cell_0087,beta
407,mouse2_lib2.final_cell_0088,delta
408,mouse2_lib2.final_cell_0089,delta
409,mouse2_lib2.final_cell_0090,beta
410,mouse2_lib2.final_cell_0091,alpha
411,mouse2_lib2.final_cell_0092,beta
412,mouse2_lib2.final_cell_0093,alpha
413,mouse2_lib2.final_cell_0094,alpha
414,mouse2_lib2.final_cell_0095,beta
415,mouse2_lib2.final_cell_0096,alpha
416,mouse2_lib2.final_cell_0097,beta
417,mouse2_lib2.final_cell_0098,gamma
418,mouse2_lib2.final_cell_0099,beta
419,mouse2_lib2.final_cell_0100,beta
420,mouse2_lib2.final_cell_0101,beta
421,mouse2_lib2.final_cell_0102,delta
422,mouse2_lib2.final_cell_0103,beta
423,mouse2_lib2.final_cell_0104,beta
424,mouse2_lib2.final_cell_0105,beta
425,mouse2_lib2.final_cell_0106,beta
426,mouse2_lib2.final_cell_0107,beta
427,mouse2_lib2.final_cell_0108,ductal
428,mouse2_lib2.final_cell_0109,beta
429,mouse2_lib2.final_cell_0110,beta
430,mouse2_lib2.final_cell_0111,delta
431,mouse2_lib2.final_cell_0112,alpha
432,mouse2_lib2.final_cell_0113,alpha
433,mouse2_lib2.final_cell_0114,beta
434,mouse2_lib2.final_cell_0115,endothelial
435,mouse2_lib2.final_cell_0116,alpha
436,mouse2_lib2.final_cell_0117,delta
437,mouse2_lib2.final_cell_0118,beta
438,mouse2_lib2.final_cell_0119,beta
439,mouse2_lib2.final_cell_0120,beta
440,mouse2_lib2.final_cell_0121,beta
441,mouse2_lib2.final_cell_0122,delta
442,mouse2_lib2.final_cell_0123,beta
443,mouse2_lib2.final_cell_0124,alpha
444,mouse2_lib2.final_cell_0125,beta
445,mouse2_lib2.final_cell_0126,beta
446,mouse2_lib2.final_cell_0127,beta
447,mouse2_lib2.final_cell_0128,beta
448,mouse2_lib2.final_cell_0129,beta
449,mouse2_lib2.final_cell_0130,alpha
450,mouse2_lib2.final_cell_0131,gamma
451,mouse2_lib2.final_cell_0132,beta
452,mouse2_lib2.final_cell_0133,beta
453,mouse2_lib2.final_cell_0134,beta
454,mouse2_lib2.final_cell_0135,alpha
455,mouse2_lib2.final_cell_0136,beta
456,mouse2_lib2.final_cell_0137,beta
457,mouse2_lib2.final_cell_0138,delta
458,mouse2_lib2.final_cell_0139,beta
459,mouse2_lib2.final_cell_0140,macrophage
460,mouse2_lib2.final_cell_0141,beta
461,mouse2_lib2.final_cell_0142,alpha
462,mouse2_lib2.final_cell_0143,alpha
463,mouse2_lib2.final_cell_0144,beta
464,mouse2_lib2.final_cell_0145,delta
465,mouse2_lib2.final_cell_0146,beta
466,mouse2_lib2.final_cell_0147,endothelial
467,mouse2_lib2.final_cell_0148,endothelial
468,mouse2_lib2.final_cell_0149,beta
469,mouse2_lib2.final_cell_0150,alpha
470,mouse2_lib2.final_cell_0151,beta
471,mouse2_lib2.final_cell_0152,beta
472,mouse2_lib2.final_cell_0153,beta
473,mouse2_lib2.final_cell_0154,beta
474,mouse2_lib2.final_cell_0155,beta
475,mouse2_lib2.final_cell_0156,beta
476,mouse2_lib2.final_cell_0157,beta
477,mouse2_lib2.final_cell_0158,beta
478,mouse2_lib2.final_cell_0159,alpha
479,mouse2_lib2.final_cell_0160,beta
480,mouse2_lib2.final_cell_0161,beta
481,mouse2_lib2.final_cell_0162,alpha
482,mouse2_lib2.final_cell_0163,delta
483,mouse2_lib2.final_cell_0164,beta
484,mouse2_lib2.final_cell_0165,delta
485,mouse2_lib2.final_cell_0166,beta
486,mouse2_lib2.final_cell_0167,endothelial
487,mouse2_lib2.final_cell_0168,beta
488,mouse2_lib2.final_cell_0169,gamma
489,mouse2_lib2.final_cell_0170,beta
490,mouse2_lib2.final_cell_0171,delta
491,mouse2_lib2.final_cell_0172,beta
492,mouse2_lib2.final_cell_0173,beta
493,mouse2_lib2.final_cell_0174,delta
494,mouse2_lib2.final_cell_0175,alpha
495,mouse2_lib2.final_cell_0176,beta
496,mouse2_lib2.final_cell_0177,delta
497,mouse2_lib2.final_cell_0178,beta
498,mouse2_lib2.final_cell_0179,beta
499,mouse2_lib2.final_cell_0180,alpha
500,mouse2_lib2.final_cell_0181,beta
501,mouse2_lib2.final_cell_0182,beta
502,mouse2_lib2.final_cell_0183,beta
503,mouse2_lib2.final_cell_0184,alpha
504,mouse2_lib2.final_cell_0185,delta
505,mouse2_lib2.final_cell_0186,endothelial
506,mouse2_lib2.final_cell_0187,beta
507,mouse2_lib2.final_cell_0188,ductal
508,mouse2_lib2.final_cell_0189,beta
509,mouse2_lib2.final_cell_0190,beta
510,mouse2_lib2.final_cell_0191,delta
511,mouse2_lib2.final_cell_0192,alpha
512,mouse2_lib2.final_cell_0193,beta
513,mouse2_lib2.final_cell_0194,beta
514,mouse2_lib2.final_cell_0195,alpha
515,mouse2_lib2.final_cell_0196,endothelial
516,mouse2_lib2.final_cell_0197,beta
517,mouse2_lib2.final_cell_0198,beta
518,mouse2_lib2.final_cell_0199,endothelial
519,mouse2_lib2.final_cell_0200,beta
520,mouse2_lib2.final_cell_0201,beta
521,mouse2_lib2.final_cell_0202,alpha
522,mouse2_lib2.final_cell_0203,alpha
523,mouse2_lib2.final_cell_0204,activated_stellate
524,mouse2_lib2.final_cell_0205,delta
525,mouse2_lib2.final_cell_0206,alpha
526,mouse2_lib2.final_cell_0207,beta
527,mouse2_lib2.final_cell_0208,ductal
528,mouse2_lib2.final_cell_0209,beta
529,mouse2_lib2.final_cell_0210,beta
530,mouse2_lib2.final_cell_0211,beta
531,mouse2_lib2.final_cell_0212,endothelial
532,mouse2_lib2.final_cell_0213,endothelial
533,mouse2_lib2.final_cell_0214,beta
534,mouse2_lib2.final_cell_0215,gamma
535,mouse2_lib2.final_cell_0216,beta
536,mouse2_lib2.final_cell_0217,quiescent_stellate
537,mouse2_lib2.final_cell_0218,beta
