,Cell,assigned_cluster
538,mouse2_lib2.final_cell_0219,gamma
539,mouse2_lib2.final_cell_0220,alpha
540,mouse2_lib2.final_cell_0221,beta
541,mouse2_lib2.final_cell_0222,delta
542,mouse2_lib2.final_cell_0223,ductal
543,mouse2_lib2.final_cell_0224,beta
544,mouse2_lib2.final_cell_0225,beta
545,mouse2_lib2.final_cell_0226,alpha
546,mouse2_lib2.final_cell_0227,beta
547,mouse2_lib2.final_cell_0228,alpha
548,mouse2_lib2.final_cell_0229,alpha
549,mouse2_lib2.final_cell_0230,beta
550,mouse2_lib2.final_cell_0231,beta
551,mouse2_lib2.final_cell_0232,macrophage
552,mouse2_lib2.final_cell_0233,beta
553,mouse2_lib2.final_cell_0234,beta
554,mouse2_lib2.final_cell_0235,ductal
555,mouse2_lib2.final_cell_0236,alpha
556,mouse2_lib2.final_cell_0237,macrophage
557,mouse2_lib2.final_cell_0238,delta
558,mouse2_lib2.final_cell_0239,endothelial
559,mouse2_lib2.final_cell_0240,alpha
560,mouse2_lib2.final_cell_0241,alpha
561,mouse2_lib2.final_cell_0242,delta
562,mouse2_lib2.final_cell_0243,alpha
563,mouse2_lib2.final_cell_0244,alpha
564,mouse2_lib2.final_cell_0245,beta
565,mouse2_lib2.final_cell_0246,delta
566,mouse2_lib2.final_cell_0247,endothelial
567,mouse2_lib2.final_cell_0248,beta
568,mouse2_lib2.final_cell_0249,activated_stellate
569,mouse2_lib2.final_cell_0250,beta
570,mouse2_lib2.final_cell_0251,endothelial
571,mouse2_lib2.final_cell_0252,activated_stellate
572,mouse2_lib2.final_cell_0253,beta
573,mouse2_lib2.final_cell_0254,beta
574,mouse2_lib2.final_cell_0255,alpha
575,mouse2_lib2.final_cell_0256,delta
576,mouse2_lib2.final_cell_0257,alpha
577,mouse2_lib2.final_cell_0258,beta
578,mouse2_lib2.final_cell_0259,beta
579,mouse2_lib2.final_cell_0260,alpha
580,mouse2_lib2.final_cell_0261,delta
581,mouse2_lib2.final_cell_0262,beta
582,mouse2_lib2.final_cell_0263,ductal
583,mouse2_lib2.final_cell_0264,macrophage
584,mouse2_lib2.final_cell_0265,beta
585,mouse2_lib2.final_cell_0266,beta
586,mouse2_lib2.final_cell_0267,B_cell
587,mouse2_lib2.final_cell_0268,beta
588,mouse2_lib2.final_cell_0269,endothelial
589,mouse2_lib2.final_cell_0270,endothelial
590,mouse2_lib2.final_cell_0271,endothelial
591,mouse2_lib2.final_cell_0272,alpha
592,mouse2_lib2.final_cell_0273,beta
593,mouse2_lib2.final_cell_0274,beta
594,mouse2_lib2.final_cell_0275,delta
595,mouse2_lib2.final_cell_0276,beta
596,mouse2_lib2.final_cell_0277,endothelial
597,mouse2_lib2.final_cell_0278,beta
598,mouse2_lib2.final_cell_0279,alpha
599,mouse2_lib2.final_cell_0280,beta
600,mouse2_lib2.final_cell_0281,endothelial
601,mouse2_lib2.final_cell_0282,alpha
602,mouse2_lib2.final_cell_0283,beta
603,mouse2_lib2.final_cell_0284,endothelial
604,mouse2_lib2.final_cell_0285,alpha
605,mouse2_lib2.final_cell_0286,delta
606,mouse2_lib2.final_cell_0287,beta
607,mouse2_lib2.final_cell_0288,beta
608,mouse2_lib2.final_cell_0289,beta
609,mouse2_lib2.final_cell_0290,delta
610,mouse2_lib2.final_cell_0291,quiescent_stellate
611,mouse2_lib2.final_cell_0292,beta
612,mouse2_lib2.final_cell_0293,alpha
613,mouse2_lib2.final_cell_0294,endothelial
614,mouse2_lib2.final_cell_0295,ductal
615,mouse2_lib2.final_cell_0296,beta
616,mouse2_lib2.final_cell_0297,beta
617,mouse2_lib2.final_cell_0298,T_cell
618,mouse2_lib2.final_cell_0299,endothelial
619,mouse2_lib2.final_cell_0300,beta
620,mouse2_lib2.final_cell_0301,ductal
621,mouse2_lib2.final_cell_0302,immune_other
622,mouse2_lib2.final_cell_0303,macrophage
623,mouse2_lib2.final_cell_0304,quiescent_stellate
624,mouse2_lib2.final_cell_0305,beta
625,mouse2_lib2.final_cell_0306,beta
626,mouse2_lib2.final_cell_0307,beta
627,mouse2_lib2.final_cell_0308,delta
628,mouse2_lib2.final_cell_0309,endothelial
629,mouse2_lib2.final_cell_0310,alpha
630,mouse2_lib2.final_cell_0311,beta
631,mouse2_lib2.final_cell_0312,beta
632,mouse2_lib2.final_cell_0313,beta
633,mouse2_lib2.final_cell_0314,delta
634,mouse2_lib2.final_cell_0315,beta
635,mouse2_lib2.final_cell_0316,beta
636,mouse2_lib2.final_cell_0317,beta
637,mouse2_lib2.final_cell_0318,beta
638,mouse2_lib2.final_cell_0319,beta
639,mouse2_lib2.final_cell_0320,beta
640,mouse2_lib2.final_cell_0321,delta
641,mouse2_lib2.final_cell_0322,alpha
642,mouse2_lib2.final_cell_0323,macrophage
643,mouse2_lib2.final_cell_0324,delta
644,mouse2_lib2.final_cell_0325,T_cell
645,mouse2_lib2.final_cell_0326,beta
646,mouse2_lib2.final_cell_0327,alpha
647,mouse2_lib2.final_cell_0328,quiescent_stellate
648,mouse2_lib2.final_cell_0329,quiescent_stellate
649,mouse2_lib2.final_cell_0330,delta
650,mouse2_lib2.final_cell_0331,beta
651,mouse2_lib2.final_cell_0332,delta
652,mouse2_lib2.final_cell_0333,delta
653,mouse2_lib2.final_cell_0334,quiescent_stellate
654,mouse2_lib2.final_cell_0335,delta
655,mouse2_lib2.final_cell_0336,quiescent_stellate
656,mouse2_lib2.final_cell_0337,delta
657,mouse2_lib2.final_cell_0338,delta
658,mouse2_lib2.final_cell_0339,alpha
659,mouse2_lib2.final_cell_0340,ductal
660,mouse2_lib2.final_cell_0341,delta
661,mouse2_lib2.final_cell_0342,beta
662,mouse2_lib2.final_cell_0343,B_cell
663,mouse2_lib2.final_cell_0344,delta
664,mouse2_lib2.final_cell_0345,delta
665,mouse2_lib2.final_cell_0346,delta
666,mouse2_lib2.final_cell_0347,delta
667,mouse2_lib2.final_cell_0348,quiescent_stellate
668,mouse2_lib2.final_cell_0349,endothelial
669,mouse2_lib3.final_cell_0001,beta
670,mouse2_lib3.final_cell_0002,beta
671,mouse2_lib3.final_cell_0003,beta
672,mouse2_lib3.final_cell_0004,beta
673,mouse2_lib3.final_cell_0005,beta
674,mouse2_lib3.final_cell_0006,beta
675,mouse2_lib3.final_cell_0007,beta
676,mouse2_lib3.final_cell_0008,beta
677,mouse2_lib3.final_cell_0009,beta
678,mouse2_lib3.final_cell_0010,beta
679,mouse2_lib3.final_cell_0011,beta
680,mouse2_lib3.final_cell_0012,beta
681,mouse2_lib3.final_cell_0013,delta
682,mouse2_lib3.final_cell_0014,delta
683,mouse2_lib3.final_cell_0015,beta
684,mouse2_lib3.final_cell_0016,activated_stellate
685,mouse2_lib3.final_cell_0017,beta
686,mouse2_lib3.final_cell_0018,beta
687,mouse2_lib3.final_cell_0019,beta
688,mouse2_lib3.final_cell_0020,alpha
689,mouse2_lib3.final_cell_0021,alpha
690,mouse2_lib3.final_cell_0022,beta
691,mouse2_lib3.final_cell_0023,beta
692,mouse2_lib3.final_cell_0024,beta
693,mouse2_lib3.final_cell_0025,beta
694,mouse2_lib3.final_cell_0026,alpha
695,mouse2_lib3.final_cell_0027,beta
696,mouse2_lib3.final_cell_0028,beta
697,mouse2_lib3.final_cell_0029,beta
698,mouse2_lib3.final_cell_0030,alpha
699,mouse2_lib3.final_cell_0031,beta
700,mouse2_lib3.final_cell_0032,beta
701,mouse2_lib3.final_cell_0033,delta
702,mouse2_lib3.final_cell_0034,schwann
703,mouse2_lib3.final_cell_0035,beta
704,mouse2_lib3.final_cell_0036,beta
705,mouse2_lib3.final_cell_0037,beta
706,mouse2_lib3.final_cell_0038,beta
707,mouse2_lib3.final_cell_0039,gamma
708,mouse2_lib3.final_cell_0040,beta
709,mouse2_lib3.final_cell_0041,delta
710,mouse2_lib3.final_cell_0042,beta
711,mouse2_lib3.final_cell_0043,beta
712,mouse2_lib3.final_cell_0044,beta
713,mouse2_lib3.final_cell_0045,beta
714,mouse2_lib3.final_cell_0046,beta
715,mouse2_lib3.final_cell_0047,beta
716,mouse2_lib3.final_cell_0048,delta
717,mouse2_lib3.final_cell_0049,beta
718,mouse2_lib3.final_cell_0050,alpha
719,mouse2_lib3.final_cell_0051,beta
720,mouse2_lib3.final_cell_0052,beta
721,mouse2_lib3.final_cell_0053,beta
722,mouse2_lib3.final_cell_0054,beta
723,mouse2_lib3.final_cell_0055,beta
724,mouse2_lib3.final_cell_0056,beta
725,mouse2_lib3.final_cell_0057,beta
726,mouse2_lib3.final_cell_0058,beta
727,mouse2_lib3.final_cell_0059,beta
728,mouse2_lib3.final_cell_0060,beta
729,mouse2_lib3.final_cell_0061,ductal
730,mouse2_lib3.final_cell_0062,beta
731,mouse2_lib3.final_cell_0063,alpha
732,mouse2_lib3.final_cell_0064,alpha
733,mouse2_lib3.final_cell_0065,schwann
734,mouse2_lib3.final_cell_0066,alpha
735,mouse2_lib3.final_cell_0067,beta
736,mouse2_lib3.final_cell_0068,beta
737,mouse2_lib3.final_cell_0069,ductal
738,mouse2_lib3.final_cell_0070,alpha
739,mouse2_lib3.final_cell_0071,beta
740,mouse2_lib3.final_cell_0072,delta
741,mouse2_lib3.final_cell_0073,alpha
742,mouse2_lib3.final_cell_0074,delta
743,mouse2_lib3.final_cell_0075,delta
744,mouse2_lib3.final_cell_0076,alpha
745,mouse2_lib3.final_cell_0077,beta
746,mouse2_lib3.final_cell_0078,alpha
747,mouse2_lib3.final_cell_0079,beta
748,mouse2_lib3.final_cell_0080,beta
749,mouse2_lib3.final_cell_0081,delta
750,mouse2_lib3.final_cell_0082,alpha
751,mouse2_lib3.final_cell_0083,beta
752,mouse2_lib3.final_cell_0084,beta
753,mouse2_lib3.final_cell_0085,beta
754,mouse2_lib3.final_cell_0086,alpha
755,mouse2_lib3.final_cell_0087,alpha
756,mouse2_lib3.final_cell_0088,beta
757,mouse2_lib3.final_cell_0089,beta
758,mouse2_lib3.final_cell_0090,beta
759,mouse2_lib3.final_cell_0091,alpha
760,mouse2_lib3.final_cell_0092,beta
761,mouse2_lib3.final_cell_0093,alpha
762,mouse2_lib3.final_cell_0094,alpha
763,mouse2_lib3.final_cell_0095,alpha
764,mouse2_lib3.final_cell_0096,beta
765,mouse2_lib3.final_cell_0097,delta
766,mouse2_lib3.final_cell_0098,beta
767,mouse2_lib3.final_cell_0099,beta
768,mouse2_lib3.final_cell_0100,alpha
769,mouse2_lib3.final_cell_0101,beta
770,mouse2_lib3.final_cell_0102,beta
771,mouse2_lib3.final_cell_0103,beta
772,mouse2_lib3.final_cell_0104,beta
773,mouse2_lib3.final_cell_0105,delta
774,mouse2_lib3.final_cell_0106,alpha
775,mouse2_lib3.final_cell_0107,beta
776,mouse2_lib3.final_cell_0108,alpha
777,mouse2_lib3.final_cell_0109,alpha
778,mouse2_lib3.final_cell_0110,beta
779,mouse2_lib3.final_cell_0111,beta
780,mouse2_lib3.final_cell_0112,alpha
781,mouse2_lib3.final_cell_0113,beta
782,mouse2_lib3.final_cell_0114,beta
783,mouse2_lib3.final_cell_0115,alpha
784,mouse2_lib3.final_cell_0116,delta
785,mouse2_lib3.final_cell_0117,beta
786,mouse2_lib3.final_cell_0118,alpha
787,mouse2_lib3.final_cell_0119,beta
788,mouse2_lib3.final_cell_0120,beta
789,mouse2_lib3.final_cell_0121,beta
790,mouse2_lib3.final_cell_0122,beta
791,mouse2_lib3.final_cell_0123,beta
792,mouse2_lib3.final_cell_0124,beta
793,mouse2_lib3.final_cell_0125,delta
794,mouse2_lib3.final_cell_0126,delta
795,mouse2_lib3.final_cell_0127,beta
796,mouse2_lib3.final_cell_0128,beta
797,mouse2_lib3.final_cell_0129,beta
798,mouse2_lib3.final_cell_0130,alpha
799,mouse2_lib3.final_cell_0131,ductal
800,mouse2_lib3.final_cell_0132,beta
801,mouse2_lib3.final_cell_0133,beta
802,mouse2_lib3.final_cell_0134,beta
803,mouse2_lib3.final_cell_0135,beta
804,mouse2_lib3.final_cell_0136,beta
805,mouse2_lib3.final_cell_0137,beta
806,mouse2_lib3.final_cell_0138,beta
807,mouse2_lib3.final_cell_0139,beta
808,mouse2_lib3.final_cell_0140,delta
809,mouse2_lib3.final_cell_0141,beta
810,mouse2_lib3.final_cell_0142,alpha
811,mouse2_lib3.final_cell_0143,beta
812,mouse2_lib3.final_cell_0144,delta
813,mouse2_lib3.final_cell_0145,alpha
814,mouse2_lib3.final_cell_0146,B_cell
815,mouse2_lib3.final_cell_0147,beta
816,mouse2_lib3.final_cell_0148,alpha
817,mouse2_lib3.final_cell_0149,delta
818,mouse2_lib3.final_cell_0150,beta
819,mouse2_lib3.final_cell_0151,alpha
820,mouse2_lib3.final_cell_0152,delta
821,mouse2_lib3.final_cell_0153,alpha
822,mouse2_lib3.final_cell_0154,beta
823,mouse2_lib3.final_cell_0155,alpha
824,mouse2_lib3.final_cell_0156,beta
825,mouse2_lib3.final_cell_0157,alpha
826,mouse2_lib3.final_cell_0158,alpha
827,mouse2_lib3.final_cell_0159,beta
828,mouse2_lib3.final_cell_0160,alpha
829,mouse2_lib3.final_cell_0161,beta
830,mouse2_lib3.final_cell_0162,beta
831,mouse2_lib3.final_cell_0163,alpha
832,mouse2_lib3.final_cell_0164,beta
833,mouse2_lib3.final_cell_0165,macrophage
834,mouse2_lib3.final_cell_0166,beta
835,mouse2_lib3.final_cell_0167,beta
836,mouse2_lib3.final_cell_0168,alpha
837,mouse2_lib3.final_cell_0169,beta
838,mouse2_lib3.final_cell_0170,beta
839,mouse2_lib3.final_cell_0171,ductal
840,mouse2_lib3.final_cell_0172,gamma
841,mouse2_lib3.final_cell_0173,beta
842,mouse2_lib3.final_cell_0174,alpha
843,mouse2_lib3.final_cell_0175,beta
844,mouse2_lib3.final_cell_0176,beta
845,mouse2_lib3.final_cell_0177,beta
846,mouse2_lib3.final_cell_0178,delta
847,mouse2_lib3.final_cell_0179,beta
848,mouse2_lib3.final_cell_0180,gamma
849,mouse2_lib3.final_cell_0181,endothelial
850,mouse2_lib3.final_cell_0182,alpha
851,mouse2_lib3.final_cell_0183,alpha
852,mouse2_lib3.final_cell_0184,alpha
853,mouse2_lib3.final_cell_0185,alpha
854,mouse2_lib3.final_cell_0186,beta
855,mouse2_lib3.final_cell_0187,beta
856,mouse2_lib3.final_cell_0188,alpha
857,mouse2_lib3.final_cell_0189,beta
858,mouse2_lib3.final_cell_0190,beta
859,mouse2_lib3.final_cell_0191,beta
860,mouse2_lib3.final_cell_0192,endothelial
861,mouse2_lib3.final_cell_0193,alpha
862,mouse2_lib3.final_cell_0194,gamma
863,mouse2_lib3.final_cell_0195,beta
864,mouse2_lib3.final_cell_0196,beta
865,mouse2_lib3.final_cell_0197,alpha
866,mouse2_lib3.final_cell_0198,delta
867,mouse2_lib3.final_cell_0199,ductal
868,mouse2_lib3.final_cell_0200,beta
869,mouse2_lib3.final_cell_0201,beta
870,mouse2_lib3.final_cell_0202,beta
871,mouse2_lib3.final_cell_0203,alpha
872,mouse2_lib3.final_cell_0204,ductal
873,mouse2_lib3.final_cell_0205,alpha
874,mouse2_lib3.final_cell_0206,endothelial
875,mouse2_lib3.final_cell_0207,alpha
876,mouse2_lib3.final_cell_0208,beta
877,mouse2_lib3.final_cell_0209,alpha
878,mouse2_lib3.final_cell_0210,alpha
879,mouse2_lib3.final_cell_0211,activated_stellate
880,mouse2_lib3.final_cell_0212,delta
881,mouse2_lib3.final_cell_0213,delta
882,mouse2_lib3.final_cell_0214,ductal
883,mouse2_lib3.final_cell_0215,beta
884,mouse2_lib3.final_cell_0216,beta
885,mouse2_lib3.final_cell_0217,beta
886,mouse2_lib3.final_cell_0218,alpha
887,mouse2_lib3.final_cell_0219,beta
888,mouse2_lib3.final_cell_0220,gamma
889,mouse2_lib3.final_cell_0221,beta
890,mouse2_lib3.final_cell_0222,beta
891,mouse2_lib3.final_cell_0223,beta
892,mouse2_lib3.final_cell_0224,endothelial
893,mouse2_lib3.final_cell_0225,ductal
894,mouse2_lib3.final_cell_0226,beta
895,mouse2_lib3.final_cell_0227,alpha
896,mouse2_lib3.final_cell_0228,endothelial
897,mouse2_lib3.final_cell_0229,beta
898,mouse2_lib3.final_cell_0230,beta
899,mouse2_lib3.final_cell_0231,beta
900,mouse2_lib3.final_cell_0232,macrophage
901,mouse2_lib3.final_cell_0233,macrophage
902,mouse2_lib3.final_cell_0234,beta
903,mouse2_lib3.final_cell_0235,beta
904,mouse2_lib3.final_cell_0236,alpha
905,mouse2_lib3.final_cell_0237,quiescent_stellate
906,mouse2_lib3.final_cell_0238,alpha
907,mouse2_lib3.final_cell_0239,beta
908,mouse2_lib3.final_cell_0240,endothelial
909,mouse2_lib3.final_cell_0241,alpha
910,mouse2_lib3.final_cell_0242,endothelial
911,mouse2_lib3.final_cell_0243,beta
912,mouse2_lib3.final_cell_0244,beta
913,mouse2_lib3.final_cell_0245,beta
914,mouse2_lib3.final_cell_0246,beta
915,mouse2_lib3.final_cell_0247,beta
916,mouse2_lib3.final_cell_0248,beta
917,mouse2_lib3.final_cell_0249,alpha
918,mouse2_lib3.final_cell_0250,alpha
919,mouse2_lib3.final_cell_0251,endothelial
920,mouse2_lib3.final_cell_0252,beta
921,mouse2_lib3.final_cell_0253,endothelial
922,mouse2_lib3.final_cell_0254,beta
923,mouse2_lib3.final_cell_0255,delta
924,mouse2_lib3.final_cell_0256,beta
925,mouse2_lib3.final_cell_0257,beta
926,mouse2_lib3.final_cell_0258,beta
927,mouse2_lib3.final_cell_0259,endothelial
928,mouse2_lib3.final_cell_0260,beta
929,mouse2_lib3.final_cell_0261,beta
930,mouse2_lib3.final_cell_0262,endothelial
931,mouse2_lib3.final_cell_0263,beta
932,mouse2_lib3.final_cell_0264,endothelial
933,mouse2_lib3.final_cell_0265,beta
934,mouse2_lib3.final_cell_0266,beta
935,mouse2_lib3.final_cell_0267,beta
936,mouse2_lib3.final_cell_0268,beta
937,mouse2_lib3.final_cell_0269,gamma
938,mouse2_lib3.final_cell_0270,beta
939,mouse2_lib3.final_cell_0271,beta
940,mouse2_lib3.final_cell_0272,alpha
941,mouse2_lib3.final_cell_0273,ductal
942,mouse2_lib3.final_cell_0274,activated_stellate
943,mouse2_lib3.final_cell_0275,beta
944,mouse2_lib3.final_cell_0276,beta
945,mouse2_lib3.final_cell_0277,delta
946,mouse2_lib3.final_cell_0278,delta
947,mouse2_lib3.final_cell_0279,alpha
948,mouse2_lib3.final_cell_0280,beta
949,mouse2_lib3.final_cell_0281,delta
950,mouse2_lib3.final_cell_0282,beta
951,mouse2_lib3.final_cell_0283,alpha
952,mouse2_lib3.final_cell_0284,endothelial
953,mouse2_lib3.final_cell_0285,beta
954,mouse2_lib3.final_cell_0286,beta
955,mouse2_lib3.final_cell_0287,beta
956,mouse2_lib3.final_cell_0288,beta
957,mouse2_lib3.final_cell_0289,endothelial
958,mouse2_lib3.final_cell_0290,alpha
959,mouse2_lib3.final_cell_0291,beta
960,mouse2_lib3.final_cell_0292,endothelial
961,mouse2_lib3.final_cell_0293,alpha
962,mouse2_lib3.final_cell_0294,beta
963,mouse2_lib3.final_cell_0295,alpha
964,mouse2_lib3.final_cell_0296,endothelial
965,mouse2_lib3.final_cell_0297,endothelial
966,mouse2_lib3.final_cell_0298,beta
967,mouse2_lib3.final_cell_0299,beta
968,mouse2_lib3.final_cell_0300,beta
969,mouse2_lib3.final_cell_0301,beta
970,mouse2_lib3.final_cell_0302,beta
971,mouse2_lib3.final_cell_0303,beta
972,mouse2_lib3.final_cell_0304,beta
973,mouse2_lib3.final_cell_0305,endothelial
974,mouse2_lib3.final_cell_0306,delta
975,mouse2_lib3.final_cell_0307,quiescent_stellate
976,mouse2_lib3.final_cell_0308,endothelial
977,mouse2_lib3.final_cell_0309,beta
978,mouse2_lib3.final_cell_0310,macrophage
979,mouse2_lib3.final_cell_0311,beta
980,mouse2_lib3.final_cell_0312,beta
981,mouse2_lib3.final_cell_0313,beta
982,mouse2_lib3.final_cell_0314,endothelial
983,mouse2_lib3.final_cell_0315,quiescent_stellate
984,mouse2_lib3.final_cell_0316,endothelial
985,mouse2_lib3.final_cell_0317,endothelial
986,mouse2_lib3.final_cell_0318,delta
987,mouse2_lib3.final_cell_0319,beta
988,mouse2_lib3.final_cell_0320,immune_other
989,mouse2_lib3.final_cell_0321,beta
990,mouse2_lib3.final_cell_0322,delta
991,mouse2_lib3.final_cell_0323,beta
992,mouse2_lib3.final_cell_0324,gamma
993,mouse2_lib3.final_cell_0325,endothelial
994,mouse2_lib3.final_cell_0326,beta
995,mouse2_lib3.final_cell_0327,beta
996,mouse2_lib3.final_cell_0328,alpha
997,mouse2_lib3.final_cell_0329,macrophage
998,mouse2_lib3.final_cell_0330,alpha
999,mouse2_lib3.final_cell_0331,ductal
1000,mouse2_lib3.final_cell_0332,beta
1001,mouse2_lib3.final_cell_0333,beta
1002,mouse2_lib3.final_cell_0334,beta
1003,mouse2_lib3.final_cell_0335,beta
1004,mouse2_lib3.final_cell_0336,ductal
1005,mouse2_lib3.final_cell_0337,beta
1006,mouse2_lib3.final_cell_0338,endothelial
1007,mouse2_lib3.final_cell_0339,alpha
1008,mouse2_lib3.final_cell_0340,endothelial
1009,mouse2_lib3.final_cell_0341,delta
1010,mouse2_lib3.final_cell_0342,beta
1011,mouse2_lib3.final_cell_0343,beta
1012,mouse2_lib3.final_cell_0344,beta
1013,mouse2_lib3.final_cell_0345,alpha
1014,mouse2_lib3.final_cell_0346,beta
1015,mouse2_lib3.final_cell_0347,quiescent_stellate
1016,mouse2_lib3.final_cell_0348,beta
1017,mouse2_lib3.final_cell_0349,alpha
1018,mouse2_lib3.final_cell_0350,delta
1019,mouse2_lib3.final_cell_0351,beta
1020,mouse2_lib3.final_cell_0352,beta
1021,mouse2_lib3.final_cell_0353,endothelial
1022,mouse2_lib3.final_cell_0354,endothelial
1023,mouse2_lib3.final_cell_0355,delta
1024,mouse2_lib3.final_cell_0356,beta
1025,mouse2_lib3.final_cell_0357,beta
1026,mouse2_lib3.final_cell_0358,ductal
1027,mouse2_lib3.final_cell_0359,quiescent_stellate
1028,mouse2_lib3.final_cell_0360,ductal
1029,mouse2_lib3.final_cell_0361,beta
1030,mouse2_lib3.final_cell_0362,beta
1031,mouse2_lib3.final_cell_0363,beta
1032,mouse2_lib3.final_cell_0364,beta
1033,mouse2_lib3.final_cell_0365,beta
1034,mouse2_lib3.final_cell_0366,endothelial
1035,mouse2_lib3.final_cell_0367,beta
1036,mouse2_lib3.final_cell_0368,T_cell
1037,mouse2_lib3.final_cell_0369,endothelial
1038,mouse2_lib3.final_cell_0370,beta
1039,mouse2_lib3.final_cell_0371,B_cell
1040,mouse2_lib3.final_cell_0372,endothelial
1041,mouse2_lib3.final_cell_0373,quiescent_stellate
1042,mouse2_lib3.final_cell_0374,beta
1043,mouse2_lib3.final_cell_0375,beta
1044,mouse2_lib3.final_cell_0376,beta
1045,mouse2_lib3.final_cell_0377,beta
1046,mouse2_lib3.final_cell_0378,delta
1047,mouse2_lib3.final_cell_0379,ductal
1048,mouse2_lib3.final_cell_0380,ductal
1049,mouse2_lib3.final_cell_0381,beta
1050,mouse2_lib3.final_cell_0382,beta
1051,mouse2_lib3.final_cell_0383,immune_other
1052,mouse2_lib3.final_cell_0384,beta
1053,mouse2_lib3.final_cell_0385,beta
1054,mouse2_lib3.final_cell_0386,delta
1055,mouse2_lib3.final_cell_0387,delta
1056,mouse2_lib3.final_cell_0388,delta
1057,mouse2_lib3.final_cell_0389,endothelial
1058,mouse2_lib3.final_cell_0390,ductal
1059,mouse2_lib3.final_cell_0391,beta
1060,mouse2_lib3.final_cell_0392,beta
1061,mouse2_lib3.final_cell_0393,ductal
1062,mouse2_lib3.final_cell_0394,quiescent_stellate
1063,mouse2_lib3.final_cell_0395,ductal
